x y z
-9.87702 -97.7233 -7.21874
-17.3798 -99.3915 -8.14455
-18.3257 -99.1229 -8.09088
-19.2404 -98.7119 -7.43178
-5.08139 -98.2058 -8.33352
-6.07245 -98.5595 -8.30225
-7.20815 -98.6309 -8.04357
-7.7565 -98.5577 -7.95183
-9.30463 -97.8678 -8.14616
-9.43794 -97.259 -7.8893
-16.1086 -99.577 -9.48434
-17.2407 -99.309 -8.81485
-18.1832 -99.0477 -8.56268
-5.5535 -98.3207 -8.89185
-6.03538 -98.5097 -8.91529
-6.60049 -98.6015 -8.84676
-9.39919 -98.392 -8.97134
-15.7749 -99.6565 -10.0046
-16.875 -99.347 -10.0221
-9.37443 -98.2803 -9.92623
-9.75569 -98.9783 -10.4999
-14.0284 -99.7677 -10.9525
-15.215 -99.7539 -10.7323
-17.0175 -99.4417 -11.3016
-18.1126 -99.0544 -11.1981
-9.26619 -98.3948 -11.3812
-10.4933 -99.3525 -11.4548
-12.1103 -99.4647 -11.6656
-13.9478 -99.5627 -11.7827
-15.6565 -99.5864 -12.1348
-16.9386 -99.4181 -12.4614
-18.2415 -99.0585 -12.1266
-18.9778 -98.6687 -12.4428
-9.08246 -98.6391 -12.5868
-9.85204 -99.1228 -12.6422
-11.3328 -99.3268 -12.7892
-12.9933 -99.326 -12.953
-14.6355 -99.3765 -13.1612
-16.1589 -99.3497 -13.3835
-17.5488 -99.145 -13.4184
-18.8203 -98.6132 -13.4681
-8.30865 -98.4805 -14.648
-9.07595 -98.7527 -13.7869
-10.6315 -99.0519 -13.9715
-12.1961 -99.1618 -14.1475
-13.7767 -99.174 -14.3227
-15.3231 -99.1513 -14.4984
-16.8514 -98.9326 -14.6764
-18.1628 -98.6935 -14.406
-18.7141 -98.5275 -14.2855
-8.43875 -98.4795 -15.1319
-8.86897 -98.5656 -15.1132
-10.0462 -98.6648 -15.2236
-11.5111 -98.7719 -15.4098
-13.0194 -98.7845 -15.5516
-14.525 -98.7186 -15.6958
-15.9775 -98.5878 -15.7534
-8.82421 -96.6583 4.62227
-9.74231 -97.1858 4.62025
-11.148 -97.6738 4.52794
-12.9082 -97.8143 4.76118
-14.2887 -97.9393 4.98146
-15.3543 -98.0357 4.90794
-16.377 -97.8788 4.90787
-17.3767 -97.8809 4.7151
-18.3342 -97.5769 4.77311
-18.9507 -97.3731 4.7901
-19.1452 -97.1728 4.98667
-8.83286 -97.0226 3.92024
-9.79668 -97.5895 3.91375
-10.6883 -98.0075 3.73822
-12.047 -98.319 3.87086
-13.6839 -98.3542 4.34295
-14.5911 -98.257 4.61126
-17.5906 -98.1608 4.22835
-18.1195 -97.973 4.32378
-18.9062 -97.754 4.19024
-19.6495 -97.2797 4.56187
-20.6348 -97.0425 4.45948
-8.35129 -96.5333 2.8897
-8.96982 -97.4344 3.14527
-19.7381 -97.8237 3.48943
-20.4634 -97.5438 3.64487
-21.0803 -97.371 3.65106
-8.36741 -96.3286 1.45141
-8.41729 -95.8217 0.963734
-19.6785 -98.1563 2.70436
-20.6159 -97.9903 2.34643
-20.9927 -97.6369 3.12817
-8.38606 -96.4505 0.915661
-8.63794 -96.4005 0.53584
-20.1778 -98.4897 0.664729
-20.6173 -98.2612 0.878385
-7.08933 -97.4267 -0.567738
-7.4186 -97.3724 -0.509307
-9.03577 -96.1435 -0.450889
-9.52947 -95.6903 -1.09282
-20.3948 -98.5411 -0.391809
-20.988 -98.1198 0.100718
-7.11686 -97.573 -1.11187
-8.1556 -97.4268 -0.903006
-8.60649 -97.367 -1.3343
-9.33248 -96.5829 -1.60282
-9.95101 -95.8889 -1.9788
-10.374 -95.7439 -2.43046
-20.3707 -98.6309 -1.98678
-6.99028 -97.7249 -2.20567
-7.83986 -97.7978 -1.94971
-8.42843 -97.5979 -1.79943
-9.19565 -97.1612 -2.63594
-9.64659 -96.7107 -2.64968
-10.2368 -96.2334 -2.90519
-20.4029 -98.6116 -2.91105
-5.3357 -97.4503 -3.55431
-6.05102 -97.5643 -3.14514
-7.37734 -97.9941 -3.05933
-8.52148 -97.9275 -3.01166
-9.42756 -97.1334 -3.24052
-9.87913 -96.6822 -3.66654
-10.3751 -96.0813 -3.96682
-20.4291 -98.5593 -3.84332
-4.23599 -97.3794 -5.13501
-5.24705 -97.6912 -4.30459
-6.63872 -98.1594 -4.22974
-7.80794 -98.2494 -4.07007
-8.55567 -98.183 -4.53302
-9.82935 -96.9015 -4.3708
-10.1618 -96.4069 -4.57398
-20.3882 -98.4246 -4.87026
-22.1363 -98.3203 -5.55523
-22.4612 -98.3353 -5.23609
-4.08231 -97.3548 -5.95291
-4.81367 -97.8628 -5.83278
-5.91222 -98.2171 -5.16917
-8.64183 -98.2389 -5.37965
-10.0089 -97.0027 -5.18448
-10.5673 -96.2212 -5.47988
-20.5881 -97.9598 -6.3554
-20.6314 -98.126 -5.61177
-21.7136 -98.2172 -6.05921
-22.84 -98.3302 -5.7243
-23.1477 -98.3224 -6.46686
-3.93589 -97.2219 -6.83608
-4.62925 -97.8466 -6.69842
-8.61906 -98.2854 -6.34254
-10.2934 -96.6776 -6.26808
-10.4873 -95.9112 -6.35282
-20.0408 -98.2405 -6.88688
-20.0729 -98.3922 -6.11165
-21.9536 -98.2683 -6.59092
-22.4685 -98.3085 -6.86971
-22.8955 -98.3154 -6.97409
-3.94921 -97.192 -7.79133
-4.62661 -97.8851 -7.46743
-8.42437 -98.3232 -7.35596
-10.0044 -96.9072 -7.19306
-10.2869 -96.2476 -6.89175
-19.123 -98.6481 -8.05134
-19.8107 -98.1313 -7.89909
-22.1902 -98.1909 -7.42222
-22.6473 -98.1986 -7.45066
-3.50869 -96.7943 -8.47419
-4.23051 -97.5513 -8.41032
-7.25243 -98.5846 -8.69897
-8.03426 -98.3587 -8.35045
-9.35014 -97.2622 -8.43495
-9.94754 -96.6686 -8.20342
